"unit","wstatus","nace_r2","geo","time","values"
"PC","EMP","TOTAL","BG31",2013,309.41
"PC","EMP","TOTAL","BG311",2013,NA
"PC","EMP","TOTAL","BG312",2013,NA
"PC","EMP","TOTAL","BG313",2013,NA
"PC","EMP","TOTAL","BG314",2013,NA
"PC","EMP","TOTAL","BG315",2013,NA
"PC","EMP","TOTAL","BG32",2013,357.73
"PC","EMP","TOTAL","BG321",2013,NA
"PC","EMP","TOTAL","BG322",2013,NA
"PC","EMP","TOTAL","BG323",2013,NA
"PC","EMP","TOTAL","BG324",2013,NA
"PC","EMP","TOTAL","BG325",2013,NA
"PC","EMP","TOTAL","BG33",2013,424.29
"PC","EMP","TOTAL","BG331",2013,NA
"PC","EMP","TOTAL","BG332",2013,NA
"PC","EMP","TOTAL","BG333",2013,NA
"PC","EMP","TOTAL","BG334",2013,NA
"PC","EMP","TOTAL","BG34",2013,463.7
"PC","EMP","TOTAL","BG341",2013,NA
"PC","EMP","TOTAL","BG342",2013,NA
"PC","EMP","TOTAL","BG343",2013,NA
"PC","EMP","TOTAL","BG344",2013,NA
"PC","EMP","TOTAL","BG4",2013,1866.45
"PC","EMP","TOTAL","BG41",2013,1211.11
"PC","EMP","TOTAL","BG411",2013,NA
"PC","EMP","TOTAL","BG412",2013,NA
"PC","EMP","TOTAL","BG413",2013,NA
"PC","EMP","TOTAL","BG414",2013,NA
"PC","EMP","TOTAL","BG415",2013,NA
"PC","EMP","TOTAL","BG42",2013,655.34
"PC","EMP","TOTAL","BG421",2013,NA
"PC","EMP","TOTAL","BG422",2013,NA
"PC","EMP","TOTAL","BG423",2013,NA
"PC","EMP","TOTAL","BG424",2013,NA
"PC","EMP","TOTAL","BG425",2013,NA
"PC","SAL","A","BG",2013,NA
"PC","SAL","A","BG3",2013,NA
"PC","SAL","A","BG31",2013,NA
"PC","SAL","A","BG311",2013,NA
"PC","SAL","A","BG312",2013,NA
"PC","SAL","A","BG313",2013,NA
"PC","SAL","A","BG314",2013,NA
"PC","SAL","A","BG315",2013,NA
"PC","SAL","A","BG32",2013,NA
"PC","SAL","A","BG321",2013,NA
"PC","SAL","A","BG322",2013,NA
"PC","SAL","A","BG323",2013,NA
"PC","SAL","A","BG324",2013,NA
"PC","SAL","A","BG325",2013,NA
"PC","SAL","A","BG33",2013,NA
"PC","SAL","A","BG331",2013,NA
"PC","SAL","A","BG332",2013,NA
"PC","SAL","A","BG333",2013,NA
"PC","SAL","A","BG334",2013,NA
"PC","SAL","A","BG34",2013,NA
"PC","SAL","A","BG341",2013,NA
"PC","SAL","A","BG342",2013,NA
"PC","SAL","A","BG343",2013,NA
"PC","SAL","A","BG344",2013,NA
"PC","SAL","A","BG4",2013,NA
"PC","SAL","A","BG41",2013,NA
"PC","SAL","A","BG411",2013,NA
