"currency","unit","sizeclas","nace_r2","lcstruct","geo","time","values"
"EUR","P_SAL_H","10-49","P85","D1111","BG",2012,2
"EUR","P_SAL_H","10-49","Q","D01","BG",2012,2.59
"EUR","P_SAL_H","10-49","Q","D111","BG",2012,2.18
"EUR","P_SAL_H","10-49","Q","D1111","BG",2012,1.97
"EUR","P_SAL_H","10-49","Q86","D01","BG",2012,3.15
"EUR","P_SAL_H","10-49","Q86","D111","BG",2012,2.68
"EUR","P_SAL_H","10-49","Q86","D1111","BG",2012,2.46
"EUR","P_SAL_H","10-49","Q87","D01","BG",2012,2.02
"EUR","P_SAL_H","10-49","Q87","D111","BG",2012,1.67
"EUR","P_SAL_H","10-49","Q87","D1111","BG",2012,1.46
"EUR","P_SAL_H","10-49","Q88","D01","BG",2012,1.87
"EUR","P_SAL_H","10-49","Q88","D111","BG",2012,1.57
"EUR","P_SAL_H","10-49","Q88","D1111","BG",2012,1.38
"EUR","P_SAL_H","10-49","R","D01","BG",2012,2.18
"EUR","P_SAL_H","10-49","R","D111","BG",2012,1.83
"EUR","P_SAL_H","10-49","R","D1111","BG",2012,1.67
"EUR","P_SAL_H","10-49","R90","D01","BG",2012,2.4
"EUR","P_SAL_H","10-49","R90","D111","BG",2012,1.98
"EUR","P_SAL_H","10-49","R90","D1111","BG",2012,1.75
"EUR","P_SAL_H","10-49","R91","D01","BG",2012,2.17
"EUR","P_SAL_H","10-49","R91","D111","BG",2012,1.8
"EUR","P_SAL_H","10-49","R91","D1111","BG",2012,1.56
"EUR","P_SAL_H","10-49","R92","D01","BG",2012,1.79
"EUR","P_SAL_H","10-49","R92","D111","BG",2012,1.5
"EUR","P_SAL_H","10-49","R92","D1111","BG",2012,1.41
"EUR","P_SAL_H","10-49","R93","D01","BG",2012,2.5
"EUR","P_SAL_H","10-49","R93","D111","BG",2012,2.14
"EUR","P_SAL_H","10-49","R93","D1111","BG",2012,1.99
"EUR","P_SAL_H","10-49","S","D01","BG",2012,2.48
"EUR","P_SAL_H","10-49","S","D111","BG",2012,2.13
"EUR","P_SAL_H","10-49","S","D1111","BG",2012,1.93
"EUR","P_SAL_H","10-49","S94","D01","BG",2012,2.99
"EUR","P_SAL_H","10-49","S94","D111","BG",2012,2.6
"EUR","P_SAL_H","10-49","S94","D1111","BG",2012,2.36
"EUR","P_SAL_H","10-49","S95","D01","BG",2012,NA
"EUR","P_SAL_H","10-49","S95","D111","BG",2012,NA
"EUR","P_SAL_H","10-49","S95","D1111","BG",2012,NA
"EUR","P_SAL_H","10-49","S96","D01","BG",2012,1.73
"EUR","P_SAL_H","10-49","S96","D111","BG",2012,1.44
"EUR","P_SAL_H","10-49","S96","D1111","BG",2012,1.33
"EUR","P_SAL_H","250-499","B","D01","BG",2012,3.54
"EUR","P_SAL_H","250-499","B","D111","BG",2012,2.73
"EUR","P_SAL_H","250-499","B","D1111","BG",2012,2.44
"EUR","P_SAL_H","250-499","B-E","D01","BG",2012,3.41
"EUR","P_SAL_H","250-499","B-E","D111","BG",2012,2.84
"EUR","P_SAL_H","250-499","B-E","D1111","BG",2012,2.49
"EUR","P_SAL_H","250-499","B-F","D01","BG",2012,3.47
"EUR","P_SAL_H","250-499","B-F","D111","BG",2012,2.89
"EUR","P_SAL_H","250-499","B-F","D1111","BG",2012,2.55
"EUR","P_SAL_H","250-499","B-N","D01","BG",2012,3.74
"EUR","P_SAL_H","250-499","B-N","D111","BG",2012,3.16
"EUR","P_SAL_H","250-499","B-N","D1111","BG",2012,2.82
"EUR","P_SAL_H","250-499","B-S","D01","BG",2012,3.86
"EUR","P_SAL_H","250-499","B-S","D111","BG",2012,3.23
"EUR","P_SAL_H","250-499","B-S","D1111","BG",2012,2.86
"EUR","P_SAL_H","250-499","B-S_X_O","D01","BG",2012,3.76
"EUR","P_SAL_H","250-499","B-S_X_O","D111","BG",2012,3.18
"EUR","P_SAL_H","250-499","B-S_X_O","D1111","BG",2012,2.82
"EUR","P_SAL_H","250-499","B05","D01","BG",2012,2.89
"EUR","P_SAL_H","250-499","B05","D111","BG",2012,2.2
"EUR","P_SAL_H","250-499","B05","D1111","BG",2012,1.98
"EUR","P_SAL_H","250-499","B06","D01","BG",2012,NA
"EUR","P_SAL_H","250-499","B06","D111","BG",2012,NA
"EUR","P_SAL_H","250-499","B06","D1111","BG",2012,NA
"EUR","P_SAL_H","250-499","B07","D01","BG",2012,4.26
"EUR","P_SAL_H","250-499","B07","D111","BG",2012,3.27
"EUR","P_SAL_H","250-499","B07","D1111","BG",2012,2.94
"EUR","P_SAL_H","250-499","B08","D01","BG",2012,2.93
"EUR","P_SAL_H","250-499","B08","D111","BG",2012,2.35
"EUR","P_SAL_H","250-499","B08","D1111","BG",2012,2.02
"EUR","P_SAL_H","250-499","C","D01","BG",2012,3.29
"EUR","P_SAL_H","250-499","C","D111","BG",2012,2.75
"EUR","P_SAL_H","250-499","C","D1111","BG",2012,2.43
"EUR","P_SAL_H","250-499","C10","D01","BG",2012,NA
"EUR","P_SAL_H","250-499","C10","D111","BG",2012,NA
"EUR","P_SAL_H","250-499","C10","D1111","BG",2012,NA
"EUR","P_SAL_H","250-499","C11","D01","BG",2012,4.13
"EUR","P_SAL_H","250-499","C11","D111","BG",2012,3.5
"EUR","P_SAL_H","250-499","C11","D1111","BG",2012,3.21
"EUR","P_SAL_H","250-499","C12","D01","BG",2012,5.99
"EUR","P_SAL_H","250-499","C12","D111","BG",2012,5.16
"EUR","P_SAL_H","250-499","C12","D1111","BG",2012,4.49
"EUR","P_SAL_H","250-499","C13","D01","BG",2012,2.36
"EUR","P_SAL_H","250-499","C13","D111","BG",2012,1.92
"EUR","P_SAL_H","250-499","C13","D1111","BG",2012,1.67
"EUR","P_SAL_H","250-499","C14","D01","BG",2012,2.14
"EUR","P_SAL_H","250-499","C14","D111","BG",2012,1.8
"EUR","P_SAL_H","250-499","C14","D1111","BG",2012,1.59
"EUR","P_SAL_H","250-499","C15","D01","BG",2012,2.27
"EUR","P_SAL_H","250-499","C15","D111","BG",2012,1.93
"EUR","P_SAL_H","250-499","C15","D1111","BG",2012,1.67
"EUR","P_SAL_H","250-499","C16","D01","BG",2012,NA
"EUR","P_SAL_H","250-499","C16","D111","BG",2012,NA
"EUR","P_SAL_H","250-499","C16","D1111","BG",2012,NA
"EUR","P_SAL_H","250-499","C17","D01","BG",2012,3.09
