sektori,zaplata,year,trimesechie
prerabodwashta,290,2005,2
energiq i woda,567,2005,2
stroitelstwo,267,2005,2
tyrgowiq,232,2005,2
hoteli,199,2005,2
transport,396,2005,2
finansi,754,2005,2
imoti,297,2005,2
dyrvawnouprawlenie,446,2005,2
obrazowanie,345,2005,2
zdraweopazwane,379,2005,2
drugi,244,2005,2
obshto,322,2005,3
selsko,247,2005,3
dobiwna,523,2005,3
prerabodwashta,295,2005,3
energiq i woda,567,2005,3
stroitelstwo,281,2005,3
tyrgowiq,240,2005,3
hoteli,206,2005,3
transport,419,2005,3
finansi,729,2005,3
imoti,303,2005,3
dyrvawnouprawlenie,453,2005,3
obrazowanie,342,2005,3
zdraweopazwane,380,2005,3
drugi,247,2005,3
obshto,332,2005,4
selsko,245,2005,4
dobiwna,541,2005,4
prerabodwashta,302,2005,4
energiq i woda,586,2005,4
stroitelstwo,287,2005,4
tyrgowiq,249,2005,4
hoteli,207,2005,4
transport,418,2005,4
finansi,785,2005,4
imoti,314,2005,4
dyrvawnouprawlenie,480,2005,4
obrazowanie,351,2005,4
zdraweopazwane,393,2005,4
drugi,254,2005,4
obshto,331,2006,1
selsko,240,2006,1
dobiwna,560,2006,1
prerabodwashta,304,2006,1
energiq i woda,583,2006,1
stroitelstwo,263,2006,1
tyrgowiq,258,2006,1
hoteli,215,2006,1
transport,426,2006,1
finansi,767,2006,1
imoti,337,2006,1
dyrvawnouprawlenie,455,2006,1
obrazowanie,334,2006,1
zdraweopazwane,349,2006,1
drugi,256,2006,1
obshto,343,2006,2
selsko,254,2006,2
dobiwna,584,2006,2
prerabodwashta,316,2006,2
energiq i woda,626,2006,2
stroitelstwo,284,2006,2
tyrgowiq,262,2006,2
hoteli,220,2006,2
transport,424,2006,2
finansi,836,2006,2
imoti,344,2006,2
dyrvawnouprawlenie,472,2006,2
obrazowanie,383,2006,2
zdraweopazwane,383,2006,2
drugi,252,2006,2
obshto,351,2006,3
selsko,268,2006,3
dobiwna,616,2006,3
prerabodwashta,325,2006,3
energiq i woda,643,2006,3
stroitelstwo,294,2006,3
tyrgowiq,268,2006,3
hoteli,224,2006,3
transport,441,2006,3
finansi,812,2006,3
imoti,355,2006,3
dyrvawnouprawlenie,503,2006,3
obrazowanie,376,2006,3
zdraweopazwane,391,2006,3
drugi,260,2006,3
obshto,371,2006,4
selsko,269,2006,4
dobiwna,662,2006,4
prerabodwashta,337,2006,4
energiq i woda,681,2006,4
stroitelstwo,310,2006,4
tyrgowiq,281,2006,4
hoteli,221,2006,4
transport,442,2006,4
finansi,874,2006,4
imoti,376,2006,4
dyrvawnouprawlenie,554,2006,4
obrazowanie,392,2006,4
zdraweopazwane,415,2006,4
drugi,291,2006,4
obshto,389,2007,1
selsko,277,2007,1
dobiwna,673,2007,1
prerabodwashta,358,2007,1
energiq i woda,665,2007,1
stroitelstwo,334,2007,1
tyrgowiq,319,2007,1
hoteli,265,2007,1
transport,486,2007,1
finansi,881,2007,1
imoti,408,2007,1
dyrvawnouprawlenie,512,2007,1
obrazowanie,375,2007,1
zdraweopazwane,412,2007,1
drugi,331,2007,1
obshto,411,2007,2
selsko,298,2007,2
dobiwna,711,2007,2
prerabodwashta,378,2007,2
energiq i woda,719,2007,2
stroitelstwo,352,2007,2
tyrgowiq,326,2007,2
hoteli,280,2007,2
transport,512,2007,2
finansi,948,2007,2
imoti,415,2007,2
dyrvawnouprawlenie,550,2007,2
obrazowanie,419,2007,2
zdraweopazwane,446,2007,2
drugi,333,2007,2
obshto,427,2007,3
selsko,309,2007,3
dobiwna,752,2007,3
prerabodwashta,393,2007,3
energiq i woda,749,2007,3
stroitelstwo,370,2007,3
tyrgowiq,335,2007,3
hoteli,289,2007,3
transport,549,2007,3
finansi,982,2007,3
imoti,426,2007,3
dyrvawnouprawlenie,612,2007,3
obrazowanie,419,2007,3
zdraweopazwane,452,2007,3
drugi,338,2007,3
obshto,456,2007,4
selsko,321,2007,4
dobiwna,791,2007,4
prerabodwashta,415,2007,4
energiq i woda,813,2007,4
stroitelstwo,377,2007,4
tyrgowiq,360,2007,4
hoteli,289,2007,4
transport,596,2007,4
finansi,1040,2007,4
imoti,449,2007,4
dyrvawnouprawlenie,666,2007,4
obrazowanie,461,2007,4
zdraweopazwane,485,2007,4
drugi,361,2007,4
