"currency","nace_r2","geo","time","values"
"MIO_EUR","TOTAL","BG321",2013,NA
"MIO_EUR","TOTAL","BG322",2013,NA
"MIO_EUR","TOTAL","BG323",2013,NA
"MIO_EUR","TOTAL","BG324",2013,NA
"MIO_EUR","TOTAL","BG325",2013,NA
"MIO_EUR","TOTAL","BG33",2013,3696.94
"MIO_EUR","TOTAL","BG331",2013,NA
"MIO_EUR","TOTAL","BG332",2013,NA
"MIO_EUR","TOTAL","BG333",2013,NA
"MIO_EUR","TOTAL","BG334",2013,NA
"MIO_EUR","TOTAL","BG34",2013,4310.34
"MIO_EUR","TOTAL","BG341",2013,NA
"MIO_EUR","TOTAL","BG342",2013,NA
"MIO_EUR","TOTAL","BG343",2013,NA
"MIO_EUR","TOTAL","BG344",2013,NA
"MIO_EUR","TOTAL","BG4",2013,21806.26
"MIO_EUR","TOTAL","BG41",2013,16762.42
"MIO_EUR","TOTAL","BG411",2013,NA
"MIO_EUR","TOTAL","BG412",2013,NA
"MIO_EUR","TOTAL","BG413",2013,NA
"MIO_EUR","TOTAL","BG414",2013,NA
"MIO_EUR","TOTAL","BG415",2013,NA
"MIO_EUR","TOTAL","BG42",2013,5043.83
"MIO_EUR","TOTAL","BG421",2013,NA
"MIO_EUR","TOTAL","BG422",2013,NA
"MIO_EUR","TOTAL","BG423",2013,NA
"MIO_EUR","TOTAL","BG424",2013,NA
"MIO_EUR","TOTAL","BG425",2013,NA
"MIO_NAC","A","BG",2013,NA
"MIO_NAC","A","BG3",2013,NA
"MIO_NAC","A","BG31",2013,NA
"MIO_NAC","A","BG311",2013,NA
"MIO_NAC","A","BG312",2013,NA
"MIO_NAC","A","BG313",2013,NA
"MIO_NAC","A","BG314",2013,NA
"MIO_NAC","A","BG315",2013,NA
"MIO_NAC","A","BG32",2013,NA
"MIO_NAC","A","BG321",2013,NA
"MIO_NAC","A","BG322",2013,NA
"MIO_NAC","A","BG323",2013,NA
"MIO_NAC","A","BG324",2013,NA
"MIO_NAC","A","BG325",2013,NA
"MIO_NAC","A","BG33",2013,NA
"MIO_NAC","A","BG331",2013,NA
"MIO_NAC","A","BG332",2013,NA
"MIO_NAC","A","BG333",2013,NA
"MIO_NAC","A","BG334",2013,NA
"MIO_NAC","A","BG34",2013,NA
"MIO_NAC","A","BG341",2013,NA
"MIO_NAC","A","BG342",2013,NA
"MIO_NAC","A","BG343",2013,NA
"MIO_NAC","A","BG344",2013,NA
"MIO_NAC","A","BG4",2013,NA
"MIO_NAC","A","BG41",2013,NA
"MIO_NAC","A","BG411",2013,NA
"MIO_NAC","A","BG412",2013,NA
"MIO_NAC","A","BG413",2013,NA
"MIO_NAC","A","BG414",2013,NA
"MIO_NAC","A","BG415",2013,NA
"MIO_NAC","A","BG42",2013,NA
"MIO_NAC","A","BG421",2013,NA
"MIO_NAC","A","BG422",2013,NA
"MIO_NAC","A","BG423",2013,NA
"MIO_NAC","A","BG424",2013,NA
"MIO_NAC","A","BG425",2013,NA
"MIO_NAC","B-E","BG",2013,NA
"MIO_NAC","B-E","BG3",2013,NA
"MIO_NAC","B-E","BG31",2013,NA
"MIO_NAC","B-E","BG311",2013,NA
"MIO_NAC","B-E","BG312",2013,NA
"MIO_NAC","B-E","BG313",2013,NA
"MIO_NAC","B-E","BG314",2013,NA
"MIO_NAC","B-E","BG315",2013,NA
"MIO_NAC","B-E","BG32",2013,NA
"MIO_NAC","B-E","BG321",2013,NA
"MIO_NAC","B-E","BG322",2013,NA
"MIO_NAC","B-E","BG323",2013,NA
"MIO_NAC","B-E","BG324",2013,NA
"MIO_NAC","B-E","BG325",2013,NA
"MIO_NAC","B-E","BG33",2013,NA
"MIO_NAC","B-E","BG331",2013,NA
"MIO_NAC","B-E","BG332",2013,NA
"MIO_NAC","B-E","BG333",2013,NA
"MIO_NAC","B-E","BG334",2013,NA
"MIO_NAC","B-E","BG34",2013,NA
"MIO_NAC","B-E","BG341",2013,NA
"MIO_NAC","B-E","BG342",2013,NA
"MIO_NAC","B-E","BG343",2013,NA
"MIO_NAC","B-E","BG344",2013,NA
"MIO_NAC","B-E","BG4",2013,NA
"MIO_NAC","B-E","BG41",2013,NA
"MIO_NAC","B-E","BG411",2013,NA
"MIO_NAC","B-E","BG412",2013,NA
"MIO_NAC","B-E","BG413",2013,NA
"MIO_NAC","B-E","BG414",2013,NA
