"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y20-64","S","BG","2013Q1",NA
"THS","F","Y20-64","T","BG","2013Q1",NA
"THS","F","Y20-64","TOTAL","BG","2013Q1",47.7
"THS","F","Y20-64","U","BG","2013Q1",NA
"THS","F","Y25-49","A","BG","2013Q1",NA
"THS","F","Y25-49","B","BG","2013Q1",NA
"THS","F","Y25-49","C","BG","2013Q1",NA
"THS","F","Y25-49","D","BG","2013Q1",NA
"THS","F","Y25-49","E","BG","2013Q1",NA
"THS","F","Y25-49","F","BG","2013Q1",NA
"THS","F","Y25-49","G","BG","2013Q1",NA
"THS","F","Y25-49","H","BG","2013Q1",NA
"THS","F","Y25-49","I","BG","2013Q1",NA
"THS","F","Y25-49","J","BG","2013Q1",NA
"THS","F","Y25-49","K","BG","2013Q1",NA
"THS","F","Y25-49","L","BG","2013Q1",NA
"THS","F","Y25-49","M","BG","2013Q1",NA
"THS","F","Y25-49","N","BG","2013Q1",9.3
"THS","F","Y25-49","O","BG","2013Q1",NA
"THS","F","Y25-49","P","BG","2013Q1",NA
"THS","F","Y25-49","Q","BG","2013Q1",NA
"THS","F","Y25-49","R","BG","2013Q1",NA
"THS","F","Y25-49","S","BG","2013Q1",NA
"THS","F","Y25-49","T","BG","2013Q1",NA
"THS","F","Y25-49","TOTAL","BG","2013Q1",26.9
"THS","F","Y25-49","U","BG","2013Q1",NA
"THS","F","Y25-59","A","BG","2013Q1",NA
"THS","F","Y25-59","B","BG","2013Q1",NA
"THS","F","Y25-59","C","BG","2013Q1",NA
"THS","F","Y25-59","D","BG","2013Q1",NA
"THS","F","Y25-59","E","BG","2013Q1",NA
"THS","F","Y25-59","F","BG","2013Q1",NA
"THS","F","Y25-59","G","BG","2013Q1",NA
"THS","F","Y25-59","H","BG","2013Q1",NA
"THS","F","Y25-59","I","BG","2013Q1",NA
"THS","F","Y25-59","J","BG","2013Q1",NA
"THS","F","Y25-59","K","BG","2013Q1",NA
"THS","F","Y25-59","L","BG","2013Q1",NA
"THS","F","Y25-59","M","BG","2013Q1",NA
"THS","F","Y25-59","N","BG","2013Q1",14.2
"THS","F","Y25-59","O","BG","2013Q1",NA
"THS","F","Y25-59","P","BG","2013Q1",NA
"THS","F","Y25-59","Q","BG","2013Q1",NA
"THS","F","Y25-59","R","BG","2013Q1",NA
"THS","F","Y25-59","S","BG","2013Q1",NA
"THS","F","Y25-59","T","BG","2013Q1",NA
"THS","F","Y25-59","TOTAL","BG","2013Q1",39
"THS","F","Y25-59","U","BG","2013Q1",NA
"THS","F","Y25-64","A","BG","2013Q1",NA
"THS","F","Y25-64","B","BG","2013Q1",NA
"THS","F","Y25-64","C","BG","2013Q1",NA
"THS","F","Y25-64","D","BG","2013Q1",NA
"THS","F","Y25-64","E","BG","2013Q1",NA
"THS","F","Y25-64","F","BG","2013Q1",NA
"THS","F","Y25-64","G","BG","2013Q1",NA
"THS","F","Y25-64","H","BG","2013Q1",NA
"THS","F","Y25-64","I","BG","2013Q1",NA
"THS","F","Y25-64","J","BG","2013Q1",NA
"THS","F","Y25-64","K","BG","2013Q1",NA
"THS","F","Y25-64","L","BG","2013Q1",NA
"THS","F","Y25-64","M","BG","2013Q1",NA
"THS","F","Y25-64","N","BG","2013Q1",14.7
"THS","F","Y25-64","O","BG","2013Q1",NA
"THS","F","Y25-64","P","BG","2013Q1",NA
"THS","F","Y25-64","Q","BG","2013Q1",NA
"THS","F","Y25-64","R","BG","2013Q1",NA
"THS","F","Y25-64","S","BG","2013Q1",NA
"THS","F","Y25-64","T","BG","2013Q1",NA
"THS","F","Y25-64","TOTAL","BG","2013Q1",41.7
"THS","F","Y25-64","U","BG","2013Q1",NA
"THS","F","Y25-74","A","BG","2013Q1",NA
"THS","F","Y25-74","B","BG","2013Q1",NA
"THS","F","Y25-74","C","BG","2013Q1",NA
"THS","F","Y25-74","D","BG","2013Q1",NA
"THS","F","Y25-74","E","BG","2013Q1",NA
"THS","F","Y25-74","F","BG","2013Q1",NA
"THS","F","Y25-74","G","BG","2013Q1",NA
"THS","F","Y25-74","H","BG","2013Q1",NA
"THS","F","Y25-74","I","BG","2013Q1",NA
"THS","F","Y25-74","J","BG","2013Q1",NA
"THS","F","Y25-74","K","BG","2013Q1",NA
"THS","F","Y25-74","L","BG","2013Q1",NA
"THS","F","Y25-74","M","BG","2013Q1",NA
"THS","F","Y25-74","N","BG","2013Q1",14.9
"THS","F","Y25-74","O","BG","2013Q1",NA
"THS","F","Y25-74","P","BG","2013Q1",NA
"THS","F","Y25-74","Q","BG","2013Q1",NA
"THS","F","Y25-74","R","BG","2013Q1",NA
"THS","F","Y25-74","S","BG","2013Q1",NA
"THS","F","Y25-74","T","BG","2013Q1",NA
"THS","F","Y25-74","TOTAL","BG","2013Q1",42.9
"THS","F","Y25-74","U","BG","2013Q1",NA
"THS","F","Y40-59","A","BG","2013Q1",NA
"THS","F","Y40-59","B","BG","2013Q1",NA
"THS","F","Y40-59","C","BG","2013Q1",NA
"THS","F","Y40-59","D","BG","2013Q1",NA
"THS","F","Y40-59","E","BG","2013Q1",NA
"THS","F","Y40-59","F","BG","2013Q1",NA
"THS","F","Y40-59","G","BG","2013Q1",NA
"THS","F","Y40-59","H","BG","2013Q1",NA
"THS","F","Y40-59","I","BG","2013Q1",NA
"THS","F","Y40-59","J","BG","2013Q1",NA
"THS","F","Y40-59","K","BG","2013Q1",NA
"THS","F","Y40-59","M","BG","2013Q1",NA
"THS","F","Y40-59","N","BG","2013Q1",9
"THS","F","Y40-59","O","BG","2013Q1",NA
"THS","F","Y40-59","P","BG","2013Q1",NA
"THS","F","Y40-59","Q","BG","2013Q1",NA
"THS","F","Y40-59","R","BG","2013Q1",NA
"THS","F","Y40-59","S","BG","2013Q1",NA
"THS","F","Y40-59","T","BG","2013Q1",NA
"THS","F","Y40-59","TOTAL","BG","2013Q1",20.7
"THS","F","Y40-64","A","BG","2013Q1",NA
"THS","F","Y40-64","B","BG","2013Q1",NA
"THS","F","Y40-64","C","BG","2013Q1",NA
